Parameter;Value
Crystal System;triclinic
Space Group;P -1 (# 2)
Unit cell lengths;a = 24.2000 Å, b = 12.5400 Å, c = 14.2500 Å
Unit cell angles;α = 72.600°, β = 123.128°, γ = 90.000°
Volume;3382.8 cubic Å
Framework density;16.0 T/1000 cubic Å
Ring sizes (# T-atoms);12 10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.95 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.86 Å, b: 4.54 Å, c: 4.7 Å
Accessible volume:;16.74 %
