Parameter;Value
Crystal System;cubic
Space Group;P a -3 (# 205)
Unit cell lengths;a = 19.8450 Å, b = 19.8450 Å, c = 19.8450 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;7815.4 cubic Å
Framework density;12.3 T/1000 cubic Å
Ring sizes (# T-atoms);11 6 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.83 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5.05 Å, b: 5.05 Å, c: 5.05 Å
Accessible volume:;28.09 %
