Parameter;Value
Crystal System;tetragonal
Space Group;P 41 21 2 (# 92)
Unit cell lengths;a = 9.2500 Å, b = 9.2500 Å, c = 10.0830 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;862.7 cubic Å
Framework density;18.5 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;4.1 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.12 Å, b: 3.12 Å, c: 3.12 Å
Accessible volume:;3.56 %
