Parameter;Value
Crystal System;hexagonal
Space Group;P 63/m m c (# 194)
Unit cell lengths;a = 18.1020 Å, b = 18.1020 Å, c = 7.6180 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;2161.9 cubic Å
Framework density;16.7 T/1000 cubic Å
Ring sizes (# T-atoms);12 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1- and 3-dimensional
Maximum diameter of a sphere;
that can be included;8.09 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.25 Å, b: 3.25 Å, c: 7.5 Å
Accessible volume:;12.72 %
