Parameter;Value
Crystal System;tetragonal
Space Group;I -4 m 2 (# 119)
Unit cell lengths;a = 20.2700 Å, b = 20.2700 Å, c = 13.4590 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;5529.9 cubic Å
Framework density;17.4 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.72 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5.19 Å, b: 5.19 Å, c: 5.19 Å
Accessible volume:;12.69 %
