Parameter;Value
Crystal System;cubic
Space Group;P m -3 n (# 223)
Unit cell lengths;a = 13.7050 Å, b = 13.7050 Å, c = 13.7050 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2574.2 cubic Å
Framework density;17.9 T/1000 cubic Å
Ring sizes (# T-atoms);6 5
Channel dimensionality;Topological (pore opening > 6-ring)
; 0-dimensional
Maximum diameter of a sphere;
that can be included;5.49 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.72 Å, b: 1.72 Å, c: 1.72 Å
Accessible volume:;0.00 %
