Parameter;Value
Crystal System;tetragonal
Space Group;I 4/m m m (# 139)
Unit cell lengths;a = 14.0120 Å, b = 14.0120 Å, c = 9.9540 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1954.3 cubic Å
Framework density;16.4 T/1000 cubic Å
Ring sizes (# T-atoms);8 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.65 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.12 Å, b: 3.12 Å, c: 4.2 Å
Accessible volume:;10.37 %
