Parameter;Value
Crystal System;orthorhombic
Space Group;I m m 2 (# 44)
Unit cell lengths;a = 7.5430 Å, b = 14.3880 Å, c = 19.0160 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2063.8 cubic Å
Framework density;17.4 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;6.81 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5.37 Å, b: 3.2 Å, c: 1.57 Å
Accessible volume:;10.96 %
