Parameter;Value
Crystal System;tetragonal
Space Group;P 42/m n m (# 136)
Unit cell lengths;a = 18.2461 Å, b = 18.2461 Å, c = 20.5569 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;6843.8 cubic Å
Framework density;16.4 T/1000 cubic Å
Ring sizes (# T-atoms);12 10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;7.09 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5 Å, b: 5 Å, c: 6.59 Å
Accessible volume:;16.40 %
