Parameter;Value
Crystal System;trigonal
Space Group;R -3 m (# 166)
Unit cell lengths;a = 17.1650 Å, b = 17.1650 Å, c = 19.7850 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;5048.5 cubic Å
Framework density;17.8 T/1000 cubic Å
Ring sizes (# T-atoms);6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 0-dimensional
Maximum diameter of a sphere;
that can be included;7.23 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.09 Å, b: 2.09 Å, c: 2.09 Å
Accessible volume:;0.00 %
