Parameter;Value
Crystal System;tetragonal
Space Group;I -4 m 2 (# 119)
Unit cell lengths;a = 7.1835 Å, b = 7.1835 Å, c = 12.0426 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;621.4 cubic Å
Framework density;16.1 T/1000 cubic Å
Ring sizes (# T-atoms);9 8 4 3
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;4.31 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.57 Å, b: 3.57 Å, c: 3.57 Å
Accessible volume:;7.05 %
