Parameter;Value
Crystal System;tetragonal
Space Group;I 41/a m d (# 141)
Unit cell lengths;a = 13.8500 Å, b = 13.8500 Å, c = 6.4200 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1231.5 cubic Å
Framework density;16.2 T/1000 cubic Å
Ring sizes (# T-atoms);9 8 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;4.52 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.99 Å, b: 2.99 Å, c: 4.38 Å
Accessible volume:;9.06 %
