Parameter;Value
Crystal System;orthorhombic
Space Group;F m m m (# 69)
Unit cell lengths;a = 26.0600 Å, b = 13.8840 Å, c = 22.8600 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;8271.1 cubic Å
Framework density;16.4 T/1000 cubic Å
Ring sizes (# T-atoms);10 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;7.04 Å
Maximum diameter of a sphere;
that can diffuse along;a: 5.07 Å, b: 5.07 Å, c: 2.06 Å
Accessible volume:;14.91 %
