Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 14.1287 Å, b = 5.2535 Å, c = 8.9277 Å
Unit cell angles;α = 90.000°, β = 105.370°, γ = 90.000°
Volume;639.0 cubic Å
Framework density;18.8 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 5
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;4.16 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.6 Å, b: 3.3 Å, c: 2.45 Å
Accessible volume:;3.48 %
