Parameter;Value
Crystal System;cubic
Space Group;I m -3 m (# 229)
Unit cell lengths;a = 34.8380 Å, b = 34.8380 Å, c = 34.8380 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;42282.4 cubic Å
Framework density;15.9 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;10.48 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.07 Å, b: 4.07 Å, c: 4.07 Å
Accessible volume:;12.39 %
