Parameter;Value
Crystal System;monoclinic
Space Group;P 1 2/m 1 (# 10)
Unit cell lengths;a = 20.7654 Å, b = 13.9048 Å, c = 12.4002 Å
Unit cell angles;α = 90.000°, β = 101.320°, γ = 90.000°
Volume;3510.7 cubic Å
Framework density;18.2 T/1000 cubic Å
Ring sizes (# T-atoms);12 10 8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;6.84 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.46 Å, b: 5.08 Å, c: 6.27 Å
Accessible volume:;10.76 %
