Parameter;Value
Crystal System;monoclinic
Space Group;P 1 21/c 1 (# 14)
Unit cell lengths;a = 9.1804 Å, b = 11.6735 Å, c = 10.8785 Å
Unit cell angles;α = 90.000°, β = 91.670°, γ = 90.000°
Volume;1165.3 cubic Å
Framework density;17.1 T/1000 cubic Å
Ring sizes (# T-atoms);9 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;5.22 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.33 Å, b: 4.35 Å, c: 4.35 Å
Accessible volume:;11.90 %
