Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/c 1 (# 15)
Unit cell lengths;a = 20.7622 Å, b = 11.7067 Å, c = 11.0461 Å
Unit cell angles;α = 90.000°, β = 119.047°, γ = 90.000°
Volume;2347.1 cubic Å
Framework density;17.0 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;5.23 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.55 Å, b: 2.91 Å, c: 4.85 Å
Accessible volume:;11.66 %
