Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 9.7620 Å, b = 20.5300 Å, c = 9.9960 Å
Unit cell angles;α = 90.000°, β = 96.897°, γ = 90.000°
Volume;1988.9 cubic Å
Framework density;16.1 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;8.18 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.14 Å, b: 1.67 Å, c: 2.76 Å
Accessible volume:;16.03 %
