Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 13.2240 Å, b = 13.2860 Å, c = 12.4540 Å
Unit cell angles;α = 90.000°, β = 114.842°, γ = 90.000°
Volume;1985.7 cubic Å
Framework density;18.1 T/1000 cubic Å
Ring sizes (# T-atoms);6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 0-dimensional
Maximum diameter of a sphere;
that can be included;5.96 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.93 Å, b: 1.54 Å, c: 1.93 Å
Accessible volume:;0.00 %
