Parameter;Value
Crystal System;trigonal
Space Group;R -3 m (# 166)
Unit cell lengths;a = 12.8710 Å, b = 12.8710 Å, c = 30.5770 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;4386.9 cubic Å
Framework density;16.4 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.84 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.25 Å, b: 3.25 Å, c: 3.25 Å
Accessible volume:;13.02 %
