Parameter;Value
Crystal System;tetragonal
Space Group;P 4/n m m (# 129)
Unit cell lengths;a = 18.6530 Å, b = 18.6530 Å, c = 9.4410 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;3284.9 cubic Å
Framework density;14.6 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;8.82 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.75 Å, b: 3.75 Å, c: 4.1 Å
Accessible volume:;17.85 %
