Parameter;Value
Crystal System;monoclinic
Space Group;P 1 21/m 1 (# 11)
Unit cell lengths;a = 11.4568 Å, b = 5.2555 Å, c = 13.9941 Å
Unit cell angles;α = 90.000°, β = 100.960°, γ = 90.000°
Volume;827.2 cubic Å
Framework density;16.9 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;6.66 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.6 Å, b: 6.29 Å, c: 1.6 Å
Accessible volume:;12.61 %
