Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 22.5853 Å, b = 13.5676 Å, c = 6.9709 Å
Unit cell angles;α = 90.000°, β = 99.016°, γ = 90.000°
Volume;2109.7 cubic Å
Framework density;15.2 T/1000 cubic Å
Ring sizes (# T-atoms);12 8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;7.92 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.64 Å, b: 3.64 Å, c: 6.95 Å
Accessible volume:;19.57 %
