Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 28.9964 Å, b = 13.9679 Å, c = 12.4493 Å
Unit cell angles;α = 90.000°, β = 104.910°, γ = 90.000°
Volume;4872.5 cubic Å
Framework density;15.6 T/1000 cubic Å
Ring sizes (# T-atoms);14 12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;9.3 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.38 Å, b: 5.77 Å, c: 7.61 Å
Accessible volume:;21.88 %
