Parameter;Value
Crystal System;hexagonal
Space Group;P 63/m c m (# 193)
Unit cell lengths;a = 18.2840 Å, b = 18.2840 Å, c = 8.5890 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;2486.7 cubic Å
Framework density;14.5 T/1000 cubic Å
Ring sizes (# T-atoms);18 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;12.03 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.4 Å, b: 2.4 Å, c: 11.39 Å
Accessible volume:;25.40 %
