Parameter;Value
Crystal System;hexagonal
Space Group;P -6 2 m (# 189)
Unit cell lengths;a = 13.5870 Å, b = 13.5870 Å, c = 7.5570 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;1208.2 cubic Å
Framework density;16.6 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.53 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.84 Å, b: 4.84 Å, c: 3.16 Å
Accessible volume:;11.58 %
