Parameter;Value
Crystal System;monoclinic
Space Group;C 1 2/m 1 (# 12)
Unit cell lengths;a = 10.2480 Å, b = 13.7880 Å, c = 6.7820 Å
Unit cell angles;α = 90.000°, β = 111.545°, γ = 90.000°
Volume;891.4 cubic Å
Framework density;18.0 T/1000 cubic Å
Ring sizes (# T-atoms);8 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;4.49 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.08 Å, b: 1.44 Å, c: 3.12 Å
Accessible volume:;5.70 %
