Atom id,Atom,x,y,z
a1,C,-1.961900,0.001200,-0.592100
a2,C,-2.740100,-0.000900,0.725200
a3,C,-0.483100,0.000600,-0.302000
a4,C,0.195000,-1.196900,-0.171000
a5,C,1.551500,-1.197500,0.095100
a6,C,2.229900,-0.000600,0.229800
a7,C,1.552000,1.196800,0.097800
a8,C,0.196300,1.197400,-0.172600
a9,H,-2.219700,-0.887800,-1.167800
a10,H,-2.219500,0.892200,-1.164800
a11,H,-2.482500,-0.891900,1.297900
a12,H,-2.482300,0.888100,1.300900
a13,H,-3.809700,-0.000500,0.515400
a14,H,-0.335100,-2.132000,-0.276200
a15,H,2.081200,-2.133000,0.198200
a16,H,3.289600,-0.001100,0.438400
a17,H,2.082000,2.131900,0.203400
a18,H,-0.333300,2.132900,-0.275700
